Epoch,Train Total Loss,Train Token Acc,Train CE Loss,Train Halt Loss,Train Halt Acc,Test CE Loss,Test Token Acc,Test Puzzle Acc,Eval Token Acc,Eval Puzzle Acc,Epoch Time (s),Peak GPU MB,Throughput (examples/s)
17,1.5553982079029083,0.40624887496232986,1.5552979469299317,0.00010026792806473407,0.0,1.505295300887803,0.40557612251427216,0.0,0.39575070582925553,0.0,44.74670767784119,1310.40087890625,223.4801289068258
18,1.5581685721874237,0.40947298109531405,1.55806143283844,0.00010713438896366196,0.0,1.501409810911368,0.40752982223726647,0.0,0.39575070582925553,0.0,45.019792318344116,1310.40087890625,222.1245253484948
19,1.571614521741867,0.4134645864367485,1.5714972913265228,0.00011723459683734977,0.0,1.4905758152285153,0.4143836306313337,0.0,0.39575070582925553,0.0,44.17615079879761,1310.40087890625,226.36648551716237
20,1.5993059396743774,0.42049271017313006,1.5991860985755921,0.00011983224103485778,0.0,1.4687807871700775,0.421726383864158,0.0,0.421726383864158,0.0,45.014148235321045,1310.40087890625,222.15237635338272
21,1.6257066905498505,0.4325178638100624,1.625545573234558,0.00016111453951557844,0.0,1.4239657977302773,0.43752455202632606,0.0,0.421726383864158,0.0,44.88132619857788,1310.40087890625,222.80981528386437
22,1.6248732566833497,0.44860914945602415,1.6243704080581665,0.0005028353512470681,0.0,1.355147501891231,0.45514948817632966,0.0,0.421726383864158,0.0,44.56465983390808,1310.40087890625,224.39305129378016
23,1.6171945214271546,0.46185081303119657,1.6164366602897644,0.0007578581922486307,0.0,1.2942791185713853,0.46939726390359476,0.0,0.421726383864158,0.0,44.86995244026184,1310.40087890625,222.86629372548637
24,1.5599163174629211,0.47489108294248583,1.5591669142246247,0.0007494081743654509,0.0,1.2403173624170316,0.47857671709095306,0.0,0.421726383864158,0.0,44.896578311920166,1310.40087890625,222.73412308895203
25,1.4912658512592316,0.48544819205999373,1.4905560255050658,0.0007098281655490117,0.0,1.1952521718731803,0.4862469533598163,0.0,0.421726383864158,0.0,44.73767042160034,1310.40087890625,223.52527312579463
26,1.4363101482391358,0.49382534325122834,1.4356415271759033,0.0006686284439704397,0.0,1.1356070780580905,0.49520152226342995,0.0,0.421726383864158,0.0,44.66363167762756,1310.40087890625,223.89581017902526
27,1.3490511655807496,0.4996943697333336,1.348405373096466,0.0006457874178184065,0.0,1.0832244825998172,0.49841912170154995,0.0,0.421726383864158,0.0,44.59401607513428,1310.40087890625,224.2453333458796
28,1.3073475301265716,0.5053264677524567,1.306920939683914,0.000426595527110377,0.0,1.0579279016062941,0.5056463698281503,0.0,0.421726383864158,0.0,44.79528045654297,1310.40087890625,223.23780313645435
29,1.2585913956165313,0.5126362353563308,1.2582004249095917,0.0003909787890750133,0.0,1.028645765839131,0.5147343437045308,0.0,0.421726383864158,0.0,44.22224450111389,1310.40087890625,226.13053934311532
30,1.2488508462905883,0.518127155303955,1.2485667645931244,0.00028408319340108586,0.0,1.0155545628244016,0.5184042924252895,0.0,0.5184042924252895,0.0,44.96609020233154,1310.40087890625,222.3898042948259
31,1.2173829227685928,0.5239696502685547,1.217082366347313,0.0003005556660357461,0.0,1.0005990875113675,0.5226094083405003,0.0,0.5184042924252895,0.0,44.84696698188782,1310.40087890625,222.98051959765002
