Epoch,Train Total Loss,Train Token Acc,Train CE Loss,Train Halt Loss,Train JEPA Raw,Train JEPA Weighted,Train Halt Acc,Test CE Loss,Test Token Acc,Test Puzzle Acc,Eval Token Acc,Eval Puzzle Acc,Epoch Time (s),Peak GPU MB,Throughput (examples/s)
11,1.5645601332187653,0.39005909860134125,1.5628119945526122,6.994397408564105e-05,16.782003974914552,0.0016782003571279348,0.0,1.5262023861414007,0.38927799272046537,0.0,0.38927799272046537,0.0,21.97216033935547,1731.7314453125,455.12138294787906
12,1.5598691403865814,0.390787935256958,1.5579534709453582,6.73814429319715e-05,18.483085441589356,0.0018483084975741803,0.0,1.5228273441370117,0.3894377688157934,0.0,0.3894377688157934,0.0,22.086626529693604,1731.7314453125,452.7626700508493
13,1.555683332681656,0.39163089990615846,1.553624725341797,6.867544361743015e-05,19.899339866638183,0.0019899339182302355,0.0,1.5242800618776686,0.3907644326909114,0.0,0.3907644326909114,0.0,22.146095037460327,1731.7314453125,451.5468746560017
14,1.5887164771556854,0.3915573000907898,1.5865472435951233,7.576657008037376e-05,20.934710693359374,0.0020934710279107093,0.0,1.5220059045290544,0.3909387904564347,0.0,0.3909387904564347,0.0,22.031469106674194,1731.7314453125,453.8961951007892
15,1.57329421043396,0.3916167005896568,1.5710435450077056,7.936137917577165e-05,21.713281440734864,0.0021713280817493795,0.0,1.5192943961510648,0.39245166082936395,0.0,0.39245166082936395,0.0,22.09904646873474,1731.7314453125,452.5082117976351
16,1.5579296469688415,0.3931542009115219,1.5555940330028535,8.814882603489586e-05,22.474693298339844,0.0022474692901596426,0.0,1.520579680547876,0.39180275797843933,0.0,0.39180275797843933,0.0,22.196112394332886,1731.7314453125,450.5293459657017
17,1.5651637434959411,0.392911870777607,1.5627351760864259,0.00010167410582683025,23.268955993652344,0.0023268955294042824,0.0,1.5187191748157252,0.39237311626750676,0.0,0.39237311626750676,0.0,22.198530912399292,1731.7314453125,450.48026103449774
18,1.5685085773468017,0.39340666830539706,1.5659943878650666,0.00011421136150661088,23.999609375,0.002399960858747363,0.0,1.5192079871676447,0.3939886095304466,0.0,0.3939886095304466,0.0,21.942232608795166,1731.7314453125,455.74213792591337
19,1.564345896244049,0.3948149964213371,1.561761701107025,0.00011727320816209002,24.669001960754393,0.0024669001111760737,0.0,1.5175283492044445,0.39212538936957897,0.0,0.39212538936957897,0.0,22.028279304504395,1731.7314453125,453.9619214813195
20,1.5520556449890137,0.39621899276971817,1.5493987917900085,0.0001247306834566535,25.32122344970703,0.0025321222608909013,0.0,1.5156981631860895,0.3946104275184451,0.0,0.3946104275184451,0.0,21.808981895446777,1731.7314453125,458.526677125069
21,1.5526862502098084,0.3970998927950859,1.5499429821968078,0.0001349883168599566,26.082836532592772,0.0026082835625857114,0.0,1.5158579384154904,0.39530396919706545,0.0,0.39530396919706545,0.0,21.931596517562866,1731.7314453125,455.9631576293126
22,1.5525191247463226,0.3975252345204353,1.5497143507003783,0.00013180248497624065,26.729629516601562,0.002672962890937924,0.0,1.5151802679528337,0.39610560213105156,0.0,0.39610560213105156,0.0,22.191121101379395,1731.7314453125,450.6306803660498
23,1.5522302508354187,0.39840997457504274,1.549369716644287,0.00012008807461888702,27.404404830932616,0.0027404404245316982,0.0,1.5144979302877375,0.39786777982700244,0.0,0.39786777982700244,0.0,21.79069757461548,1731.7314453125,458.9114215255434
24,1.5574678242206574,0.39926995933055875,1.5545556604862214,0.00011036238647694693,28.018148994445802,0.002801814838312566,0.0,1.5144849830909157,0.3973733800808396,0.0,0.3973733800808396,0.0,22.200732946395874,1731.7314453125,450.43557904800736
25,1.5557907938957214,0.3997179836034775,1.552837646007538,8.985899985438014e-05,28.632818603515624,0.0028632817789912223,0.0,1.5134322853988944,0.3993061932105995,0.0,0.3993061932105995,0.0,21.879324674606323,1731.7314453125,457.05249813337446
