Epoch,Train Loss,Token Accuracy
651,0.7872,0.668
652,0.7923,0.665
653,0.7912,0.666
654,0.7972,0.664
655,0.7944,0.664
656,0.8006,0.661
657,0.8025,0.661
658,0.8034,0.66
659,0.806,0.659
660,0.8105,0.656
661,0.8094,0.656
662,0.812,0.657
663,0.8102,0.658
664,0.8163,0.656
665,0.8159,0.655
666,0.823,0.653
667,0.8235,0.651
668,0.8211,0.653
669,0.8215,0.653
670,0.8172,0.653
671,0.8222,0.652
672,0.8173,0.654
673,0.8252,0.651
674,0.8291,0.648
675,0.8282,0.649
676,0.8302,0.649
677,0.8305,0.649
678,0.83,0.649
679,0.833,0.649
680,0.8342,0.649
681,0.8523,0.642
682,0.8559,0.64
683,0.8729,0.633
684,0.8747,0.629
685,0.878,0.628
686,0.8823,0.625
687,0.8771,0.624
688,0.873,0.627
689,0.8862,0.621
690,0.8854,0.619
691,0.8834,0.621
692,0.8892,0.619
693,0.8872,0.618
694,0.8882,0.619
695,0.8851,0.619
696,0.8874,0.618
697,0.8885,0.617
698,0.8873,0.618
699,0.8886,0.619
700,0.8831,0.621
701,0.8917,0.617
702,0.8943,0.616
703,0.893,0.617
704,0.8925,0.617
705,0.8909,0.617
706,0.8914,0.618
707,0.8924,0.616
708,0.8981,0.615
709,0.895,0.616
710,0.9013,0.613
711,0.9086,0.612
712,0.9105,0.609
713,0.9073,0.611
714,0.9087,0.611
715,0.9176,0.607
716,0.9209,0.604
717,0.9195,0.607
718,0.9174,0.606
719,0.9199,0.605
720,0.9198,0.606
721,0.9196,0.604
722,0.9239,0.604
723,0.9272,0.602
724,0.9245,0.602
725,0.9167,0.605
726,0.9137,0.604
727,0.9094,0.607
728,0.9032,0.609
729,0.8957,0.612
730,0.8959,0.613
731,0.8894,0.617
732,0.8828,0.618
733,0.8902,0.617
734,0.8847,0.62
735,0.8851,0.62
736,0.8774,0.622
737,0.8725,0.623
738,0.8737,0.624
739,0.8807,0.621
740,0.885,0.618
741,0.8884,0.618
742,0.9109,0.609
743,0.9061,0.609
744,0.9036,0.611
745,0.9078,0.61
746,0.9173,0.606
747,0.903,0.609
748,0.8928,0.613
749,0.8915,0.613
750,0.8857,0.613
751,0.8825,0.617
752,0.8799,0.618
753,0.8891,0.615
754,0.8846,0.616
755,0.8813,0.618
756,0.8789,0.619
757,0.8828,0.616
758,0.8837,0.615
759,0.8917,0.613
760,0.8911,0.613
761,0.8904,0.614
762,0.9019,0.61
763,0.9037,0.609
764,0.9019,0.609
765,0.9035,0.608
766,0.9118,0.605
767,0.9134,0.604
768,0.9086,0.606
769,0.9193,0.604
770,0.9253,0.601
771,0.9508,0.593
